"","SP_ID","Int_Name","PA_type","PA_DEF","IUCN_CAT","RealmNr","Biodiversity","Wilderness","ClimateStability","LandUseStability","Size","ClimateProtection"
"7",85,"Absaroka-Beartooth",NA,1,"Ib",5,0.209529344300282,0.631694557093874,0.754210256423391,0.497118195472991,0.02975564144307,0.181829509387265
"9",945,"Active Delta (Mississippi River Birdsfoot Delta)","KBA",NA,NA,5,0.175509906701072,0.304039789616459,0.646408363170009,0.543455311060192,0.0059252876767363,0.0415754528817361
"19",446,"Akami–Uapishku - Kakkasuak - Mealy Mountains National Park Reserve Of Canada",NA,1,"II",5,0.0698532701179141,0.955799654110785,0.455410953153203,0.620412260348959,0.143909762892555,0.194480237107408
"20",984,"Akimiski Island","KBA",NA,NA,5,0.0826520154628625,0.944372387674076,0.312916473256988,0.611576322393225,0.0200358973952824,0.076831330193568
"30",440,"Algonquin Provincial Park (Natural Environment Class)",NA,1,"II",5,0.181094291709875,0.766368100305621,0.675507782549569,0.640183481196904,0.0104677650265791,0.387947766729467
"44",110,"Andreafsky",NA,1,"Ib",5,0.099012275632506,0.963353103242912,0.54573817391891,0.606208077005582,0.0726600093526802,0.07075680460745
"45",115,"Andrew Simons",NA,1,"Ib",5,0.100688468774124,0.892872875019872,0.513887399316688,0.612361020446172,0.0392398976202323,0.132199753493973
"53",916,"Apalachicola River and Forests","KBA",NA,NA,5,0.458533528602492,0.45337030109571,0.838052786312892,0.522105545626603,0.0104395962013197,0.303479738169278
"58",1264,"Arroyo El Mimbre area","KBA",NA,NA,5,0.539075853050612,0.34604232843881,0.729201587460004,0.187468650484953,0.0171993489030705,0.0277403795075584
"60",443,"Asatiwisipe Aki Traditional Use Planning Area",NA,1,"II",5,0.147882659583377,0.913264828289909,0.433357621007653,0.615349142432958,0.100334167406966,0.16565012158342
"61",459,"Asi Keyi",NA,1,"II",5,0.102727108338783,0.97095853341188,0.704654967388195,0.606208077005582,0.0160605470833327,0.104922753892398
"64",143,"Athabasca Sand Dunes Provincial Park",NA,1,"Ib",5,0.0989297915047423,0.928369010326455,0.364155010545861,0.615827992062967,0.00120353248882303,0.10798072728338
"65",441,"Atikaki Provincial Park",NA,1,"II",5,0.159564988583728,0.888514165690932,0.600960327714368,0.633449855103419,0.0328858144116352,0.23360242895557
"67",453,"Atlin/A Teix Gi Aan Tlein Park",NA,1,"II",5,0.135972223238152,0.961920215011272,0.790266105434051,0.609172962824951,0.00478670175080682,0.295252248002153
"68",461,"Aulavik National Park Of Canada",NA,1,"II",5,0.0198932072015906,0.982633596681306,0.542877498442854,0.606208077005582,0.16837375729648,NA
"71",462,"Auyuittuq National Park Of Canada",NA,1,"II",5,0.0126068562643299,0.9779211862587,0.64760851865297,0.606208077005582,0.289523193272926,0
"99",463,"Banff National Park Of Canada",NA,1,"II",5,0.169304473287492,0.844345590044679,0.63916024524968,0.662185610294835,0.080173362652008,0.520825704343581
"101",159,"Banks Island Bird Sanctuary No. 1",NA,1,"Ib",5,0.0311743338980496,0.981931688688245,0.51606700660699,0.606208077005582,0.300699164722624,0
"103",951,"Barataria Terrebonne","KBA",NA,NA,5,0.3000261280389,0.142922631230807,0.883447606459816,0,0.157317093346077,0.137077105855191
"110",132,"Bay du Nord Wilderness Reserve",NA,1,"Ib",5,0.0546151651742765,0.911074496738374,0.536881057897913,0.664618039913512,0.014908896845085,0.141328669331906
